Pit,Material,HD (km),Month,SF,Cycle (hrs),TPNOH (t/h),Cycle (min),Fixed (min),Travel (min)
MRM,Ore,0.5,Jan,1.07,0.245005533,1585.311139,14.70033196,7.9099,6.790431961
MRM,Ore,0.5,Feb,1.07,0.245005533,1585.311139,14.70033196,8.3314,6.368931961
MRM,Ore,0.5,Mar,1.027,0.245005533,1521.602373,14.70033196,7.9672,6.733131961
MRM,Ore,0.5,Apr,0.958,0.245005533,1419.372029,14.70033196,7.9729,6.727431961
MRM,Ore,0.5,May,0.958,0.245005533,1419.372029,14.70033196,7.5509,7.149431961
MRM,Ore,0.5,Jun,0.958,0.245005533,1419.372029,14.70033196,7.74,6.960331961
MRM,Ore,0.5,Jul,0.958,0.245005533,1419.372029,14.70033196,7.7183,6.982031961
MRM,Ore,0.5,Aug,0.958,0.245005533,1419.372029,14.70033196,7.8197,6.880631961
MRM,Ore,0.5,Sep,0.958,0.245005533,1419.372029,14.70033196,7.734,6.966331961
MRM,Ore,0.5,Oct,0.987,0.245005533,1462.338405,14.70033196,7.185,7.515331961
MRM,Ore,0.5,Nov,1.027,0.245005533,1521.602373,14.70033196,7.2715,7.428831961
MRM,Ore,0.5,Dec,1.07,0.245005533,1585.311139,14.70033196,7.2057,7.494631961
MRM,Ore,0.6,Jan,1.07,0.25523978,1521.745554,15.31438679,7.9099,7.404486788
MRM,Ore,0.6,Feb,1.07,0.25523978,1521.745554,15.31438679,8.3314,6.982986788
MRM,Ore,0.6,Mar,1.027,0.25523978,1460.591293,15.31438679,7.9672,7.347186788
MRM,Ore,0.6,Apr,0.958,0.25523978,1362.460038,15.31438679,7.9729,7.341486788
MRM,Ore,0.6,May,0.958,0.25523978,1362.460038,15.31438679,7.5509,7.763486788
MRM,Ore,0.6,Jun,0.958,0.25523978,1362.460038,15.31438679,7.74,7.574386788
MRM,Ore,0.6,Jul,0.958,0.25523978,1362.460038,15.31438679,7.7183,7.596086788
MRM,Ore,0.6,Aug,0.958,0.25523978,1362.460038,15.31438679,7.8197,7.494686788
MRM,Ore,0.6,Sep,0.958,0.25523978,1362.460038,15.31438679,7.734,7.580386788
MRM,Ore,0.6,Oct,0.987,0.25523978,1403.703609,15.31438679,7.185,8.129386788
MRM,Ore,0.6,Nov,1.027,0.25523978,1460.591293,15.31438679,7.2715,8.042886788
MRM,Ore,0.6,Dec,1.07,0.25523978,1521.745554,15.31438679,7.2057,8.108686788
MRM,Ore,0.7,Jan,1.07,0.264703211,1467.341477,15.88219264,7.9099,7.97229264
MRM,Ore,0.7,Feb,1.07,0.264703211,1467.341477,15.88219264,8.3314,7.55079264
MRM,Ore,0.7,Mar,1.027,0.264703211,1408.373548,15.88219264,7.9672,7.91499264
MRM,Ore,0.7,Apr,0.958,0.264703211,1313.750593,15.88219264,7.9729,7.90929264
MRM,Ore,0.7,May,0.958,0.264703211,1313.750593,15.88219264,7.5509,8.33129264
MRM,Ore,0.7,Jun,0.958,0.264703211,1313.750593,15.88219264,7.74,8.14219264
MRM,Ore,0.7,Jul,0.958,0.264703211,1313.750593,15.88219264,7.7183,8.16389264
MRM,Ore,0.7,Aug,0.958,0.264703211,1313.750593,15.88219264,7.8197,8.06249264
MRM,Ore,0.7,Sep,0.958,0.264703211,1313.750593,15.88219264,7.734,8.14819264
MRM,Ore,0.7,Oct,0.987,0.264703211,1353.519661,15.88219264,7.185,8.69719264
MRM,Ore,0.7,Nov,1.027,0.264703211,1408.373548,15.88219264,7.2715,8.61069264
MRM,Ore,0.7,Dec,1.07,0.264703211,1467.341477,15.88219264,7.2057,8.67649264
MRM,Ore,0.8,Jan,1.07,0.273553234,1419.869887,16.41319406,7.9099,8.503294064
MRM,Ore,0.8,Feb,1.07,0.273553234,1419.869887,16.41319406,8.3314,8.081794064
MRM,Ore,0.8,Mar,1.027,0.273553234,1362.809695,16.41319406,7.9672,8.445994064
MRM,Ore,0.8,Apr,0.958,0.273553234,1271.247992,16.41319406,7.9729,8.440294064
MRM,Ore,0.8,May,0.958,0.273553234,1271.247992,16.41319406,7.5509,8.862294064
MRM,Ore,0.8,Jun,0.958,0.273553234,1271.247992,16.41319406,7.74,8.673194064
MRM,Ore,0.8,Jul,0.958,0.273553234,1271.247992,16.41319406,7.7183,8.694894064
MRM,Ore,0.8,Aug,0.958,0.273553234,1271.247992,16.41319406,7.8197,8.593494064
MRM,Ore,0.8,Sep,0.958,0.273553234,1271.247992,16.41319406,7.734,8.679194064
MRM,Ore,0.8,Oct,0.987,0.273553234,1309.730447,16.41319406,7.185,9.228194064
MRM,Ore,0.8,Nov,1.027,0.273553234,1362.809695,16.41319406,7.2715,9.141694064
MRM,Ore,0.8,Dec,1.07,0.273553234,1419.869887,16.41319406,7.2057,9.207494064
MRM,Ore,0.9,Jan,1.07,0.28189972,1377.830386,16.9139832,7.9099,9.004083195
MRM,Ore,0.9,Feb,1.07,0.28189972,1377.830386,16.9139832,8.3314,8.582583195
MRM,Ore,0.9,Mar,1.027,0.28189972,1322.459632,16.9139832,7.9672,8.946783195
MRM,Ore,0.9,Apr,0.958,0.28189972,1233.608888,16.9139832,7.9729,8.941083195
MRM,Ore,0.9,May,0.958,0.28189972,1233.608888,16.9139832,7.5509,9.363083195
MRM,Ore,0.9,Jun,0.958,0.28189972,1233.608888,16.9139832,7.74,9.173983195
MRM,Ore,0.9,Jul,0.958,0.28189972,1233.608888,16.9139832,7.7183,9.195683195
MRM,Ore,0.9,Aug,0.958,0.28189972,1233.608888,16.9139832,7.8197,9.094283195
MRM,Ore,0.9,Sep,0.958,0.28189972,1233.608888,16.9139832,7.734,9.179983195
MRM,Ore,0.9,Oct,0.987,0.28189972,1270.951954,16.9139832,7.185,9.728983195
MRM,Ore,0.9,Nov,1.027,0.28189972,1322.459632,16.9139832,7.2715,9.642483195
MRM,Ore,0.9,Dec,1.07,0.28189972,1377.830386,16.9139832,7.2057,9.708283195
MRM,Ore,1,Jan,1.07,0.289823,1340.162789,17.38938,7.9099,9.47948
MRM,Ore,1,Feb,1.07,0.289823,1340.162789,17.38938,8.3314,9.05798
MRM,Ore,1,Mar,1.027,0.289823,1286.30578,17.38938,7.9672,9.42218
MRM,Ore,1,Apr,0.958,0.289823,1199.884067,17.38938,7.9729,9.41648
MRM,Ore,1,May,0.958,0.289823,1199.884067,17.38938,7.5509,9.83848
MRM,Ore,1,Jun,0.958,0.289823,1199.884067,17.38938,7.74,9.64938
MRM,Ore,1,Jul,0.958,0.289823,1199.884067,17.38938,7.7183,9.67108
MRM,Ore,1,Aug,0.958,0.289823,1199.884067,17.38938,7.8197,9.56968
MRM,Ore,1,Sep,0.958,0.289823,1199.884067,17.38938,7.734,9.65538
MRM,Ore,1,Oct,0.987,0.289823,1236.206236,17.38938,7.185,10.20438
MRM,Ore,1,Nov,1.027,0.289823,1286.30578,17.38938,7.2715,10.11788
MRM,Ore,1,Dec,1.07,0.289823,1340.162789,17.38938,7.2057,10.18368
MRM,Ore,1.1,Jan,1.07,0.297383946,1306.089335,17.84303674,7.9099,9.933136745
MRM,Ore,1.1,Feb,1.07,0.297383946,1306.089335,17.84303674,8.3314,9.511636745
MRM,Ore,1.1,Mar,1.027,0.297383946,1253.601633,17.84303674,7.9672,9.875836745
MRM,Ore,1.1,Apr,0.958,0.297383946,1169.377181,17.84303674,7.9729,9.870136745
MRM,Ore,1.1,May,0.958,0.297383946,1169.377181,17.84303674,7.5509,10.29213674
MRM,Ore,1.1,Jun,0.958,0.297383946,1169.377181,17.84303674,7.74,10.10303674
MRM,Ore,1.1,Jul,0.958,0.297383946,1169.377181,17.84303674,7.7183,10.12473674
MRM,Ore,1.1,Aug,0.958,0.297383946,1169.377181,17.84303674,7.8197,10.02333674
MRM,Ore,1.1,Sep,0.958,0.297383946,1169.377181,17.84303674,7.734,10.10903674
MRM,Ore,1.1,Oct,0.987,0.297383946,1204.775863,17.84303674,7.185,10.65803674
MRM,Ore,1.1,Nov,1.027,0.297383946,1253.601633,17.84303674,7.2715,10.57153674
MRM,Ore,1.1,Dec,1.07,0.297383946,1306.089335,17.84303674,7.2057,10.63733674
MRM,Ore,1.2,Jan,1.07,0.304630006,1275.022132,18.27780037,7.9099,10.36790037
MRM,Ore,1.2,Feb,1.07,0.304630006,1275.022132,18.27780037,8.3314,9.946400372
MRM,Ore,1.2,Mar,1.027,0.304630006,1223.782925,18.27780037,7.9672,10.31060037
MRM,Ore,1.2,Apr,0.958,0.304630006,1141.561872,18.27780037,7.9729,10.30490037
MRM,Ore,1.2,May,0.958,0.304630006,1141.561872,18.27780037,7.5509,10.72690037
MRM,Ore,1.2,Jun,0.958,0.304630006,1141.561872,18.27780037,7.74,10.53780037
MRM,Ore,1.2,Jul,0.958,0.304630006,1141.561872,18.27780037,7.7183,10.55950037
MRM,Ore,1.2,Aug,0.958,0.304630006,1141.561872,18.27780037,7.8197,10.45810037
MRM,Ore,1.2,Sep,0.958,0.304630006,1141.561872,18.27780037,7.734,10.54380037
MRM,Ore,1.2,Oct,0.987,0.304630006,1176.118546,18.27780037,7.185,11.09280037
MRM,Ore,1.2,Nov,1.027,0.304630006,1223.782925,18.27780037,7.2715,11.00630037
MRM,Ore,1.2,Dec,1.07,0.304630006,1275.022132,18.27780037,7.2057,11.07210037
MRM,Ore,1.3,Jan,1.07,0.31159903,1246.505808,18.69594177,7.9099,10.78604177
MRM,Ore,1.3,Feb,1.07,0.31159903,1246.505808,18.69594177,8.3314,10.36454177
MRM,Ore,1.3,Mar,1.027,0.31159903,1196.412584,18.69594177,7.9672,10.72874177
MRM,Ore,1.3,Apr,0.958,0.31159903,1116.030433,18.69594177,7.9729,10.72304177
MRM,Ore,1.3,May,0.958,0.31159903,1116.030433,18.69594177,7.5509,11.14504177
MRM,Ore,1.3,Jun,0.958,0.31159903,1116.030433,18.69594177,7.74,10.95594177
MRM,Ore,1.3,Jul,0.958,0.31159903,1116.030433,18.69594177,7.7183,10.97764177
MRM,Ore,1.3,Aug,0.958,0.31159903,1116.030433,18.69594177,7.8197,10.87624177
MRM,Ore,1.3,Sep,0.958,0.31159903,1116.030433,18.69594177,7.734,10.96194177
MRM,Ore,1.3,Oct,0.987,0.31159903,1149.814236,18.69594177,7.185,11.51094177
MRM,Ore,1.3,Nov,1.027,0.31159903,1196.412584,18.69594177,7.2715,11.42444177
MRM,Ore,1.3,Dec,1.07,0.31159903,1246.505808,18.69594177,7.2057,11.49024177
MRM,Ore,1.4,Jan,1.07,0.318321788,1220.180379,19.09930729,7.9099,11.18940729
MRM,Ore,1.4,Feb,1.07,0.318321788,1220.180379,19.09930729,8.3314,10.76790729
MRM,Ore,1.4,Mar,1.027,0.318321788,1171.145093,19.09930729,7.9672,11.13210729
MRM,Ore,1.4,Apr,0.958,0.318321788,1092.460564,19.09930729,7.9729,11.12640729
MRM,Ore,1.4,May,0.958,0.318321788,1092.460564,19.09930729,7.5509,11.54840729
MRM,Ore,1.4,Jun,0.958,0.318321788,1092.460564,19.09930729,7.74,11.35930729
MRM,Ore,1.4,Jul,0.958,0.318321788,1092.460564,19.09930729,7.7183,11.38100729
MRM,Ore,1.4,Aug,0.958,0.318321788,1092.460564,19.09930729,7.8197,11.27960729
MRM,Ore,1.4,Sep,0.958,0.318321788,1092.460564,19.09930729,7.734,11.36530729
MRM,Ore,1.4,Oct,0.987,0.318321788,1125.530873,19.09930729,7.185,11.91430729
MRM,Ore,1.4,Nov,1.027,0.318321788,1171.145093,19.09930729,7.2715,11.82780729
MRM,Ore,1.4,Dec,1.07,0.318321788,1220.180379,19.09930729,7.2057,11.89360729
MRM,Ore,1.5,Jan,1.07,0.324823707,1195.756317,19.48942244,7.9099,11.57952244
MRM,Ore,1.5,Feb,1.07,0.324823707,1195.756317,19.48942244,8.3314,11.15802244
MRM,Ore,1.5,Mar,1.027,0.324823707,1147.702558,19.48942244,7.9672,11.52222244
MRM,Ore,1.5,Apr,0.958,0.324823707,1070.593039,19.48942244,7.9729,11.51652244
MRM,Ore,1.5,May,0.958,0.324823707,1070.593039,19.48942244,7.5509,11.93852244
MRM,Ore,1.5,Jun,0.958,0.324823707,1070.593039,19.48942244,7.74,11.74942244
MRM,Ore,1.5,Jul,0.958,0.324823707,1070.593039,19.48942244,7.7183,11.77112244
MRM,Ore,1.5,Aug,0.958,0.324823707,1070.593039,19.48942244,7.8197,11.66972244
MRM,Ore,1.5,Sep,0.958,0.324823707,1070.593039,19.48942244,7.734,11.75542244
MRM,Ore,1.5,Oct,0.987,0.324823707,1103.001388,19.48942244,7.185,12.30442244
MRM,Ore,1.5,Nov,1.027,0.324823707,1147.702558,19.48942244,7.2715,12.21792244
MRM,Ore,1.5,Dec,1.07,0.324823707,1195.756317,19.48942244,7.2057,12.28372244
MRM,Ore,1.6,Jan,1.07,0.331126087,1172.997283,19.8675652,7.9099,11.9576652
MRM,Ore,1.6,Feb,1.07,0.331126087,1172.997283,19.8675652,8.3314,11.5361652
MRM,Ore,1.6,Mar,1.027,0.331126087,1125.85814,19.8675652,7.9672,11.9003652
MRM,Ore,1.6,Apr,0.958,0.331126087,1050.216259,19.8675652,7.9729,11.8946652
MRM,Ore,1.6,May,0.958,0.331126087,1050.216259,19.8675652,7.5509,12.3166652
MRM,Ore,1.6,Jun,0.958,0.331126087,1050.216259,19.8675652,7.74,12.1275652
MRM,Ore,1.6,Jul,0.958,0.331126087,1050.216259,19.8675652,7.7183,12.1492652
MRM,Ore,1.6,Aug,0.958,0.331126087,1050.216259,19.8675652,7.8197,12.0478652
MRM,Ore,1.6,Sep,0.958,0.331126087,1050.216259,19.8675652,7.734,12.1335652
MRM,Ore,1.6,Oct,0.987,0.331126087,1082.007774,19.8675652,7.185,12.6825652
MRM,Ore,1.6,Nov,1.027,0.331126087,1125.85814,19.8675652,7.2715,12.5960652
MRM,Ore,1.6,Dec,1.07,0.331126087,1172.997283,19.8675652,7.2057,12.6618652
MRM,Ore,1.7,Jan,1.07,0.337246982,1151.707859,20.23481894,7.9099,12.32491894
MRM,Ore,1.7,Feb,1.07,0.337246982,1151.707859,20.23481894,8.3314,11.90341894
MRM,Ore,1.7,Mar,1.027,0.337246982,1105.424272,20.23481894,7.9672,12.26761894
MRM,Ore,1.7,Apr,0.958,0.337246982,1031.155261,20.23481894,7.9729,12.26191894
MRM,Ore,1.7,May,0.958,0.337246982,1031.155261,20.23481894,7.5509,12.68391894
MRM,Ore,1.7,Jun,0.958,0.337246982,1031.155261,20.23481894,7.74,12.49481894
MRM,Ore,1.7,Jul,0.958,0.337246982,1031.155261,20.23481894,7.7183,12.51651894
MRM,Ore,1.7,Aug,0.958,0.337246982,1031.155261,20.23481894,7.8197,12.41511894
MRM,Ore,1.7,Sep,0.958,0.337246982,1031.155261,20.23481894,7.734,12.50081894
MRM,Ore,1.7,Oct,0.987,0.337246982,1062.369773,20.23481894,7.185,13.04981894
MRM,Ore,1.7,Nov,1.027,0.337246982,1105.424272,20.23481894,7.2715,12.96331894
MRM,Ore,1.7,Dec,1.07,0.337246982,1151.707859,20.23481894,7.2057,13.02911894
MRM,Ore,1.8,Jan,1.07,0.343201861,1131.724631,20.59211169,7.9099,12.68221169
MRM,Ore,1.8,Feb,1.07,0.343201861,1131.724631,20.59211169,8.3314,12.26071169
