Textbox5,Textbox1
"Monday, August 10, 2026",11:00:41 AM

Name,Textbox58
Yang Ning (Albian),(587) 941-1811

Textbox33,Textbox141,Textbox142,Textbox276,Textbox547,Textbox548,Textbox549,Textbox550,Textbox193,Textbox194,Textbox7,Textbox543,Textbox436,Textbox437,TonsgradeHour3,Textbox438,Hour14,Textbox439,Hour23,Hour00,Textbox154,Textbox156,Textbox158,Hour111,B1,Textbox958,Textbox959,Textbox976,Textbox989,Textbox990,Textbox991,Textbox1003,Textbox1013,Textbox1014,PercBlockHour4,Textbox1030,Textbox1039,Textbox1040,Textbox1042,Textbox1057
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S007,3.4%,399,30%,"3,660",0%,0,21.7%,"13,105",JPM-260E-201,0%,0,3%,371,0%,0,"4,028","11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S007,3.4%,399,30%,"3,660",0%,0,21.7%,"13,105",JPM-260E-213,3.4%,398.5,27%,"3,289",0%,0,"6,215","11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S007,3.4%,399,30%,"3,660",0%,0,21.7%,"13,105",JPM-260E-214,0%,0,0%,0,0%,0,"2,863","11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S010,29.5%,"3,459",17.5%,"2,136",0%,0,22.6%,"13,696",JPM-250E-25,0%,0,5.8%,712,0%,0,712,"11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S010,29.5%,"3,459",17.5%,"2,136",0%,0,22.6%,"13,696",JPM-250E-26,29.5%,3458.8,11.7%,"1,424",0%,0,"12,984","11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S016,36%,"4,218",26.8%,"3,261",0%,0,32%,"19,382",JPM-278T-102,14.3%,1675,5.9%,721,0%,0,"2,396","11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S016,36%,"4,218",26.8%,"3,261",0%,0,32%,"19,382",JPM-278T-112,0%,0,0%,0,0%,0,"1,787","11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S016,36%,"4,218",26.8%,"3,261",0%,0,32%,"19,382",JPM-278T-117,21.7%,2543.2,20.8%,"2,540",0%,0,"11,607","11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S016,36%,"4,218",26.8%,"3,261",0%,0,32%,"19,382",JPM-278T-127,0%,0,0%,0,0%,0,"1,418","11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S016,36%,"4,218",26.8%,"3,261",0%,0,32%,"19,382",JPM-278T-128,0%,0,0%,0,0%,0,"2,174","11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S2504,0%,0,0%,0,0%,0,5.3%,"3,219",ST_CR_LIVEPILE_JPM-ORE,0%,0,0%,0,0%,0,"3,219","11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
09:00 to 10:00,10:00 to 11:00,11:00 to 12:00,S2922,4.9%,581,4.6%,556,0%,0,7.2%,"4,364",REJ_JPM-REJECTS,4.9%,580.6,4.6%,556,0%,0,"4,364","11,730","12,188",0,"60,498",11.6,12.0,NaN,12.0,14.6,12.6,NaN,13.3,197,236,NaN,217,79.4,70.6,NaN,82.5
