Textbox5,Textbox1
"Tuesday, August 18, 2026",9:01:36 AM

Name,Textbox58
Yang Ning (Albian),(587) 941-1811

Textbox33,Textbox141,Textbox142,Textbox276,Textbox547,Textbox548,Textbox549,Textbox550,Textbox193,Textbox194,Textbox7,Textbox543,Textbox436,Textbox437,TonsgradeHour3,Textbox438,Hour14,Textbox439,Hour23,Hour00,Textbox154,Textbox156,Textbox158,Hour111,B1,Textbox958,Textbox959,Textbox976,Textbox989,Textbox990,Textbox991,Textbox1003,Textbox1013,Textbox1014,PercBlockHour4,Textbox1030,Textbox1039,Textbox1040,Textbox1042,Textbox1057
07:00 to 08:00,08:00 to 09:00,09:00 to 10:00,S011,27.7%,"1,893",11.5%,907,0%,0,25.7%,"6,256",MRM-221F-27,0%,0,3.4%,267,0%,0,267,"6,843","7,874",0,"24,372",12.0,11.8,NaN,12.0,11.6,13.0,NaN,11.7,201,231,NaN,218,94.8,105.2,NaN,94.6
07:00 to 08:00,08:00 to 09:00,09:00 to 10:00,S011,27.7%,"1,893",11.5%,907,0%,0,25.7%,"6,256",MRM-221F-39,23.1%,1579.9,8.1%,640,0%,0,"5,282","6,843","7,874",0,"24,372",12.0,11.8,NaN,12.0,11.6,13.0,NaN,11.7,201,231,NaN,218,94.8,105.2,NaN,94.6
07:00 to 08:00,08:00 to 09:00,09:00 to 10:00,S011,27.7%,"1,893",11.5%,907,0%,0,25.7%,"6,256",MRM-221F-40,4.6%,312.7,0%,0,0%,0,706,"6,843","7,874",0,"24,372",12.0,11.8,NaN,12.0,11.6,13.0,NaN,11.7,201,231,NaN,218,94.8,105.2,NaN,94.6
07:00 to 08:00,08:00 to 09:00,09:00 to 10:00,S014,45.9%,"3,139",32.8%,"2,580",0%,0,45.7%,"11,141",MRM-226F-10,5.1%,350.9,0%,0,0%,0,"4,272","6,843","7,874",0,"24,372",12.0,11.8,NaN,12.0,11.6,13.0,NaN,11.7,201,231,NaN,218,94.8,105.2,NaN,94.6
