Textbox5,Textbox1
"Tuesday, August 18, 2026",9:02:22 AM

Name,Textbox58
Yang Ning (Albian),(587) 941-1811

Textbox33,Textbox141,Textbox142,Textbox276,Textbox547,Textbox548,Textbox549,Textbox550,Textbox193,Textbox194,Textbox7,Textbox543,Textbox436,Textbox437,TonsgradeHour3,Textbox438,Hour14,Textbox439,Hour23,Hour00,Textbox154,Textbox156,Textbox158,Hour111,B1,Textbox958,Textbox959,Textbox976,Textbox989,Textbox990,Textbox991,Textbox1003,Textbox1013,Textbox1014,PercBlockHour4,Textbox1030,Textbox1039,Textbox1040,Textbox1042,Textbox1057
07:00 to 08:00,08:00 to 09:00,09:00 to 10:00,S010,31.1%,"3,435",35.4%,"3,491",0%,0,31.9%,"10,335",JPM-250E-22,0%,0,3.7%,362,0%,0,362,"11,043","9,869",0,"32,422",11.8,11.9,NaN,11.8,8.1,8.0,NaN,8.0,265,269,NaN,266,66.8,64.0,NaN,66.6
07:00 to 08:00,08:00 to 09:00,09:00 to 10:00,S010,31.1%,"3,435",35.4%,"3,491",0%,0,31.9%,"10,335",JPM-250E-26,11.8%,1305,10.8%,"1,064",0%,0,"2,675","11,043","9,869",0,"32,422",11.8,11.9,NaN,11.8,8.1,8.0,NaN,8.0,265,269,NaN,266,66.8,64.0,NaN,66.6
07:00 to 08:00,08:00 to 09:00,09:00 to 10:00,S010,31.1%,"3,435",35.4%,"3,491",0%,0,31.9%,"10,335",JPM-250E-27,13.1%,1443.5,0%,0,0%,0,"4,547","11,043","9,869",0,"32,422",11.8,11.9,NaN,11.8,8.1,8.0,NaN,8.0,265,269,NaN,266,66.8,64.0,NaN,66.6
07:00 to 08:00,08:00 to 09:00,09:00 to 10:00,S010,31.1%,"3,435",35.4%,"3,491",0%,0,31.9%,"10,335",JPM-250E-33,6.2%,686.1,20.9%,"2,064",0%,0,"2,750","11,043","9,869",0,"32,422",11.8,11.9,NaN,11.8,8.1,8.0,NaN,8.0,265,269,NaN,266,66.8,64.0,NaN,66.6
07:00 to 08:00,08:00 to 09:00,09:00 to 10:00,S016,28.8%,"3,179",26.4%,"2,605",0%,0,31.1%,"10,091",JPM-251E-120,28.8%,3179.4,26.4%,"2,605",0%,0,"10,091","11,043","9,869",0,"32,422",11.8,11.9,NaN,11.8,8.1,8.0,NaN,8.0,265,269,NaN,266,66.8,64.0,NaN,66.6
07:00 to 08:00,08:00 to 09:00,09:00 to 10:00,S2504,3.5%,389,10.4%,"1,028",0%,0,4.4%,"1,417",ST_CR_LIVEPILE-ORE,3.5%,388.5,10.4%,"1,028",0%,0,"1,417","11,043","9,869",0,"32,422",11.8,11.9,NaN,11.8,8.1,8.0,NaN,8.0,265,269,NaN,266,66.8,64.0,NaN,66.6
07:00 to 08:00,08:00 to 09:00,09:00 to 10:00,S2922,3.9%,432,1.2%,115,0%,0,1.7%,547,PRJ-CLN-REJ-2922-REJECTS,3.9%,432,1.2%,115,0%,0,547,"11,043","9,869",0,"32,422",11.8,11.9,NaN,11.8,8.1,8.0,NaN,8.0,265,269,NaN,266,66.8,64.0,NaN,66.6
