Dtl_ShiftID,Dtl_TIMESTAMP,Dtl_Truck,Dtl_messagebody,Dtl_FromLocationType,Dtl_FromLocation,Dtl_ToLocationType,Dtl_ToLocation,Dtl_AssignType
260810002,8/11/2026 1:30:48 AM,7,T105,Workshop,SHACK,Workshop,LUBELAND_MRM,System Fuel Assignment
260810002,8/10/2026 9:26:05 PM,3,T108,Crusher,CR2_MRM,Workshop,LUBELAND_MRM,System Fuel Assignment
260810002,8/10/2026 8:16:52 PM,2,T116,Dump,DU_LWR_CADILLAC_518,Workshop,LUBELAND_MRM,System Fuel Assignment
260810002,8/11/2026 1:34:30 AM,7,T134,Shiftchange,JPM_COFESHK_JPM,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260810002,8/10/2026 8:58:18 PM,2,T139,Crusher,CR1_JPM,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260810002,8/10/2026 8:36:55 PM,2,T141,Shiftchange,JPM_COFESHK_JPM,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260810002,8/11/2026 2:04:33 AM,8,T454,Shovel,S2922,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260810002,8/10/2026 9:38:40 PM,3,T459,Crusher,CR1_JPM,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260810002,8/11/2026 2:23:51 AM,8,T474,Crusher,CR1_JPM,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260810002,8/11/2026 12:05:41 AM,6,T101,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 12:30:18 AM,6,T102,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 1:36:48 AM,7,T107,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 11:14:53 PM,5,T109,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 12:15:46 AM,6,T110,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 1:57:53 AM,7,T113,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 11:26:34 PM,5,T119,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 1:13:22 AM,7,T120,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 1:42:43 AM,7,T120,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 1:07:14 AM,7,T121,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 10:10:10 PM,4,T122,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 12:27:28 AM,6,T123,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 2:19:10 AM,8,T126,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 7:11:50 PM,1,T103,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 7:23:13 PM,1,T106,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 7:25:15 PM,1,T106,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 8:54:00 PM,2,T112,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 6:59:00 PM,0,T117,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 8:30:05 PM,2,T129,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 9:03:41 PM,3,T136,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 9:26:08 PM,3,T136,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 8:50:54 PM,2,T151,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 11:45:05 PM,5,T152,Crusher,CR1_JPM,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260810002,8/10/2026 6:03:54 PM,0,T153,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 6:57:51 PM,0,T156,,,Workshop,LUBELAND_1_JPM,Dispatcher Fuel Assignment
260810002,8/10/2026 6:26:18 PM,0,T157,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 7:51:36 PM,1,T158,,,Workshop,LUBELAND_1_JPM,Dispatcher Fuel Assignment
260810002,8/10/2026 7:21:42 PM,1,T161,,,Workshop,LUBELAND_1_JPM,Dispatcher Fuel Assignment
260810002,8/10/2026 11:17:01 PM,5,T462,Dump,DY_SEEPAGE_10_PIT_556,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260810002,8/11/2026 12:38:27 AM,6,T463,Dump,DY_SEEPAGE_10_PIT_556,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260810002,8/10/2026 6:21:41 PM,0,T470,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 11:05:26 PM,5,T472,Dump,DU_PD6_BERM,Workshop,LUBELAND_MRM,System Fuel Assignment
260810002,8/11/2026 12:52:04 AM,6,T132,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 12:56:56 AM,6,T135,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 2:24:05 AM,8,T135,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/11/2026 12:00:36 AM,6,T144,,,Workshop,LUBELAND_2_JPM,Dispatcher Fuel Assignment
260810002,8/10/2026 10:10:59 PM,4,T149,,,Workshop,LUBELAND_2_JPM,Dispatcher Fuel Assignment
260810002,8/10/2026 10:00:12 PM,4,T154,,,Workshop,LUBELAND_2_JPM,Dispatcher Fuel Assignment
260810002,8/11/2026 1:12:09 AM,7,T166,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260810002,8/10/2026 10:53:43 PM,4,T169,Crusher,CR1_JPM,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260810002,8/10/2026 10:11:18 PM,4,T466,Shiftchange,STANDBY_MRM,Workshop,LUBELAND_MRM,System Fuel Assignment
260810002,8/10/2026 10:17:38 PM,4,T466,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260811002,8/11/2026 8:00:31 PM,2,T103,Dump,IN_12PIT_552,Workshop,LUBELAND_MRM,System Fuel Assignment
260811002,8/12/2026 1:56:12 AM,7,T107,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260811002,8/12/2026 1:43:33 AM,7,T110,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260811002,8/11/2026 10:20:10 PM,4,T115,Crusher,CR2_MRM,Workshop,LUBELAND_MRM,System Fuel Assignment
260811002,8/11/2026 11:32:29 PM,5,T116,Workshop,SHACK,Workshop,LUBELAND_MRM,System Fuel Assignment
260811002,8/12/2026 1:05:57 AM,7,T119,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260811002,8/12/2026 2:19:46 AM,8,T122,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260811002,8/12/2026 2:41:22 AM,8,T129,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260811002,8/11/2026 11:03:39 PM,5,T133,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260811002,8/12/2026 2:24:35 AM,8,T135,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260811002,8/11/2026 11:03:27 PM,5,T136,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260811002,8/12/2026 2:09:53 AM,8,T141,,,Workshop,LUBELAND_2_JPM,Dispatcher Fuel Assignment
260811002,8/12/2026 12:55:28 AM,6,T144,,,Workshop,LUBELAND_2_JPM,Dispatcher Fuel Assignment
260811002,8/12/2026 1:19:26 AM,7,T149,,,Workshop,LUBELAND_2_JPM,Dispatcher Fuel Assignment
260811002,8/11/2026 10:51:37 PM,4,T151,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260811002,8/12/2026 12:23:39 AM,6,T161,,,Workshop,LUBELAND_2_JPM,Dispatcher Fuel Assignment
260811002,8/12/2026 1:36:20 AM,7,T168,Crusher,CR1_JPM,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260811002,8/11/2026 11:16:11 PM,5,T171,,,Workshop,LUBELAND_2_JPM,Dispatcher Fuel Assignment
260811002,8/11/2026 11:47:46 PM,5,T454,,,Workshop,LUBELAND_MRM,Dispatcher Fuel Assignment
260811002,8/11/2026 9:43:15 PM,3,T455,Dump,DU_LWR_CADILLAC_518,Workshop,LUBELAND_MRM,System Fuel Assignment
260811002,8/11/2026 8:48:53 PM,2,T456,Stockpile,ST_VIPER_SAND,Workshop,LUBELAND_MRM,System Fuel Assignment
260811002,8/12/2026 12:00:04 AM,6,T459,Crusher,CR1_JPM,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260811002,8/11/2026 9:07:03 PM,3,T461,Crusher,CR1_JPM,Workshop,LUBELAND_2_JPM,System Fuel Assignment
260811002,8/11/2026 11:44:21 PM,5,T463,Dump,DU_BERTA_551,Workshop,LUBELAND_2_JPM,System Fuel Assignment
