dShiftId,dDumpLocation,dLogTime,dNextLogTime,dDurationSecond,dHos,dRN,dTrucksAtDump,dTrucksInQueue,dQStatus
260807001,,2026-08-07 05:59:59,,,-1,1,,0,Queue
260807001,CR1_MRM,2026-08-07 06:00:00,2026-08-07 06:00:28,28,0,253,,0,Queue
260807001,CR1_MRM,2026-08-07 06:00:28,2026-08-07 06:00:29,1,0,252,,0,Queue
260807001,CR1_MRM,2026-08-07 06:00:29,2026-08-07 06:02:29,120,0,251,,0,Queue
260807001,CR1_MRM,2026-08-07 06:02:29,2026-08-07 06:02:30,1,0,250,,0,Queue
260807001,CR1_MRM,2026-08-07 06:02:30,2026-08-07 06:03:00,30,0,249,,0,Queue
260807001,CR1_MRM,2026-08-07 06:03:00,2026-08-07 06:03:01,1,0,248,,0,Queue
260807001,CR1_MRM,2026-08-07 06:03:01,2026-08-07 06:03:36,35,0,247,,0,Queue
260807001,CR1_MRM,2026-08-07 06:03:36,2026-08-07 06:03:37,1,0,246,,0,Queue
260807001,CR1_MRM,2026-08-07 06:03:37,2026-08-07 06:04:51,74,0,245,,0,Queue
260807001,CR1_MRM,2026-08-07 06:04:51,2026-08-07 06:04:52,1,0,244,,0,Queue
260807001,CR1_MRM,2026-08-07 06:04:52,2026-08-07 06:07:14,142,0,243,,0,Queue
260807001,CR1_MRM,2026-08-07 06:07:14,2026-08-07 06:07:15,1,0,242,,0,Queue
260807001,CR1_MRM,2026-08-07 06:07:15,2026-08-07 06:07:56,41,0,241,,0,Queue
260807001,CR1_MRM,2026-08-07 06:07:56,2026-08-07 06:07:57,1,0,240,,0,Queue
260807001,CR1_MRM,2026-08-07 06:07:57,2026-08-07 06:07:58,1,0,239,,0,Queue
260807001,CR1_MRM,2026-08-07 06:07:58,2026-08-07 06:07:59,1,0,238,,0,Queue
260807001,CR1_MRM,2026-08-07 06:07:59,2026-08-07 06:09:08,69,0,237,,0,Queue
260807001,CR1_MRM,2026-08-07 06:09:08,2026-08-07 06:09:09,1,0,236,,0,Queue
260807001,CR1_MRM,2026-08-07 06:09:09,2026-08-07 06:10:22,73,0,235,,0,Queue
260807001,CR1_MRM,2026-08-07 06:10:22,2026-08-07 06:10:23,1,0,234,,0,Queue
260807001,CR1_MRM,2026-08-07 06:10:23,2026-08-07 06:13:28,185,0,233,,0,Queue
260807001,CR1_MRM,2026-08-07 06:13:28,2026-08-07 06:13:29,1,0,232,,0,Queue
260807001,CR1_MRM,2026-08-07 06:13:29,2026-08-07 06:14:39,70,0,231,,0,Queue
260807001,CR1_MRM,2026-08-07 06:14:39,2026-08-07 06:14:40,1,0,230,,0,Queue
260807001,CR1_MRM,2026-08-07 06:14:40,2026-08-07 06:15:23,43,0,229,,0,Queue
260807001,CR1_MRM,2026-08-07 06:15:23,2026-08-07 06:15:24,1,0,228,,0,Queue
260807001,CR1_MRM,2026-08-07 06:15:24,2026-08-07 06:15:53,29,0,227,,0,Queue
260807001,CR1_MRM,2026-08-07 06:15:53,2026-08-07 06:15:54,1,0,226,,0,Queue
260807001,CR1_MRM,2026-08-07 06:15:54,2026-08-07 06:16:25,31,0,225,,0,Queue
260807001,CR1_MRM,2026-08-07 06:16:25,2026-08-07 06:16:26,1,0,224,,0,Queue
260807001,CR1_MRM,2026-08-07 06:16:26,2026-08-07 06:17:46,80,0,223,,0,Queue
260807001,CR1_MRM,2026-08-07 06:17:46,2026-08-07 06:17:47,1,0,222,,0,Queue
260807001,CR1_MRM,2026-08-07 06:17:47,2026-08-07 06:18:53,66,0,221,,0,Queue
260807001,CR1_MRM,2026-08-07 06:18:53,2026-08-07 06:18:54,1,0,220,,0,Queue
260807001,CR1_MRM,2026-08-07 06:18:54,2026-08-07 06:19:40,46,0,219,,0,Queue
260807001,CR1_MRM,2026-08-07 06:19:40,2026-08-07 06:19:41,1,0,218,,0,Queue
260807001,CR1_MRM,2026-08-07 06:19:41,2026-08-07 06:20:55,74,0,217,,0,Queue
260807001,CR1_MRM,2026-08-07 06:20:55,2026-08-07 06:20:56,1,0,216,,0,Queue
260807001,CR1_MRM,2026-08-07 06:20:56,2026-08-07 06:24:40,224,0,215,,0,Queue
260807001,CR1_MRM,2026-08-07 06:24:40,2026-08-07 06:24:41,1,0,214,,0,Queue
260807001,CR1_MRM,2026-08-07 06:24:41,2026-08-07 06:25:42,61,0,213,,0,Queue
260807001,CR1_MRM,2026-08-07 06:25:42,2026-08-07 06:25:43,1,0,212,,0,Queue
260807001,CR1_MRM,2026-08-07 06:25:43,2026-08-07 06:25:44,1,0,211,,0,Queue
260807001,CR1_MRM,2026-08-07 06:25:44,2026-08-07 06:25:45,1,0,210,,0,Queue
260807001,CR1_MRM,2026-08-07 06:25:45,2026-08-07 06:26:15,30,0,209,,0,Queue
260807001,CR1_MRM,2026-08-07 06:26:15,2026-08-07 06:26:16,1,0,208,,0,Queue
260807001,CR1_MRM,2026-08-07 06:26:16,2026-08-07 06:26:27,11,0,207,,0,Queue
260807001,CR1_MRM,2026-08-07 06:26:27,2026-08-07 06:26:28,1,0,206,,0,Queue
260807001,CR1_MRM,2026-08-07 06:26:28,2026-08-07 06:27:09,41,0,205,,0,Queue
260807001,CR1_MRM,2026-08-07 06:27:09,2026-08-07 06:27:10,1,0,204,,0,Queue
260807001,CR1_MRM,2026-08-07 06:27:10,2026-08-07 06:27:21,11,0,203,,0,Queue
260807001,CR1_MRM,2026-08-07 06:27:21,2026-08-07 06:27:22,1,0,202,,0,Queue
260807001,CR1_MRM,2026-08-07 06:27:22,2026-08-07 06:28:59,97,0,201,,0,Queue
260807001,CR1_MRM,2026-08-07 06:28:59,2026-08-07 06:29:00,1,0,200,,0,Queue
260807001,CR1_MRM,2026-08-07 06:29:00,2026-08-07 06:29:01,1,0,199,,0,Queue
260807001,CR1_MRM,2026-08-07 06:29:01,2026-08-07 06:29:02,1,0,198,,0,Queue
260807001,CR1_MRM,2026-08-07 06:29:02,2026-08-07 06:31:02,120,0,197,,0,Queue
260807001,CR1_MRM,2026-08-07 06:31:02,2026-08-07 06:31:03,1,0,196,,0,Queue
260807001,CR1_MRM,2026-08-07 06:31:03,2026-08-07 06:31:05,2,0,195,,0,Queue
260807001,CR1_MRM,2026-08-07 06:31:05,2026-08-07 06:31:06,1,0,194,,0,Queue
260807001,CR1_MRM,2026-08-07 06:31:06,2026-08-07 06:31:42,36,0,193,,0,Queue
260807001,CR1_MRM,2026-08-07 06:31:42,2026-08-07 06:31:43,1,0,192,,0,Queue
260807001,CR1_MRM,2026-08-07 06:31:43,2026-08-07 06:33:28,105,0,191,,0,Queue
260807001,CR1_MRM,2026-08-07 06:33:28,2026-08-07 06:33:29,1,0,190,,0,Queue
260807001,CR1_MRM,2026-08-07 06:33:29,2026-08-07 06:34:04,35,0,189,,0,Queue
260807001,CR1_MRM,2026-08-07 06:34:04,2026-08-07 06:34:05,1,0,188,,0,Queue
260807001,CR1_MRM,2026-08-07 06:34:05,2026-08-07 06:36:37,152,0,187,,0,Queue
260807001,CR1_MRM,2026-08-07 06:36:37,2026-08-07 06:36:38,1,0,186,,0,Queue
260807001,CR1_MRM,2026-08-07 06:36:38,2026-08-07 06:36:39,1,0,185,,0,Queue
260807001,CR1_MRM,2026-08-07 06:36:39,2026-08-07 06:36:40,1,0,184,,0,Queue
260807001,CR1_MRM,2026-08-07 06:36:40,2026-08-07 06:37:58,78,0,183,,0,Queue
260807001,CR1_MRM,2026-08-07 06:37:58,2026-08-07 06:37:59,1,0,182,,0,Queue
260807001,CR1_MRM,2026-08-07 06:37:59,2026-08-07 06:38:46,47,0,181,,0,Queue
260807001,CR1_MRM,2026-08-07 06:38:46,2026-08-07 06:38:47,1,0,180,,0,Queue
260807001,CR1_MRM,2026-08-07 06:38:47,2026-08-07 06:40:41,114,0,179,,0,Queue
260807001,CR1_MRM,2026-08-07 06:40:41,2026-08-07 06:40:42,1,0,178,,0,Queue
260807001,CR1_MRM,2026-08-07 06:40:42,2026-08-07 06:40:50,8,0,177,,0,Queue
260807001,CR1_MRM,2026-08-07 06:40:50,2026-08-07 06:40:51,1,0,176,,0,Queue
260807001,CR1_MRM,2026-08-07 06:40:51,2026-08-07 06:41:51,60,0,175,,0,Queue
260807001,CR1_MRM,2026-08-07 06:41:51,2026-08-07 06:41:52,1,0,174,,0,Queue
260807001,CR1_MRM,2026-08-07 06:41:52,2026-08-07 06:42:40,48,0,173,,0,Queue
260807001,CR1_MRM,2026-08-07 06:42:40,2026-08-07 06:42:41,1,0,172,,0,Queue
260807001,CR1_MRM,2026-08-07 06:42:41,2026-08-07 06:42:54,13,0,171,,0,Queue
260807001,CR1_MRM,2026-08-07 06:42:54,2026-08-07 06:42:55,1,0,170,,0,Queue
260807001,CR1_MRM,2026-08-07 06:42:55,2026-08-07 06:45:27,152,0,169,,0,Queue
260807001,CR1_MRM,2026-08-07 06:45:27,2026-08-07 06:45:28,1,0,168,,0,Queue
260807001,CR1_MRM,2026-08-07 06:45:28,2026-08-07 06:46:32,64,0,167,,0,Queue
260807001,CR1_MRM,2026-08-07 06:46:32,2026-08-07 06:46:33,1,0,166,,0,Queue
260807001,CR1_MRM,2026-08-07 06:46:33,2026-08-07 06:47:40,67,0,165,,0,Queue
260807001,CR1_MRM,2026-08-07 06:47:40,2026-08-07 06:47:41,1,0,164,,0,Queue
260807001,CR1_MRM,2026-08-07 06:47:41,2026-08-07 06:48:40,59,0,163,,0,Queue
260807001,CR1_MRM,2026-08-07 06:48:40,2026-08-07 06:48:41,1,0,162,,0,Queue
260807001,CR1_MRM,2026-08-07 06:48:41,2026-08-07 06:48:49,8,0,161,,0,Queue
260807001,CR1_MRM,2026-08-07 06:48:49,2026-08-07 06:48:50,1,0,160,,0,Queue
260807001,CR1_MRM,2026-08-07 06:48:50,2026-08-07 06:50:02,72,0,159,,0,Queue
260807001,CR1_MRM,2026-08-07 06:50:02,2026-08-07 06:50:03,1,0,158,,0,Queue
260807001,CR1_MRM,2026-08-07 06:50:03,2026-08-07 06:51:35,92,0,157,,0,Queue
260807001,CR1_MRM,2026-08-07 06:51:35,2026-08-07 06:51:36,1,0,156,,0,Queue
260807001,CR1_MRM,2026-08-07 06:51:36,2026-08-07 06:52:08,32,0,155,,0,Queue
260807001,CR1_MRM,2026-08-07 06:52:08,2026-08-07 06:52:09,1,0,154,,0,Queue
