Dtl_ShiftID_1,Dtl_TimeStamp_2,Dtl_Eqmt_3,Dtl_Eqmttype_4,Dtl_Duration_5,Dtl_ExpectedDuration_6,Dtl_Pit_7,Dtl_Reason_8,Dtl_FuelLevel_9
260820001,8/20/2026 6:00:00 AM,T104,Cat 797,349,780,MRM,FUEL&LUBE,17.75
260820001,8/20/2026 6:00:00 AM,T455,Cat 785,393,300,MRM,WAIT FOR FUEL BAY,17.785
260820001,8/20/2026 6:00:23 AM,T144,Cat 797,349,780,JPM,FUEL&LUBE,
260820001,8/20/2026 6:00:33 AM,T454,Cat 789,493,300,MRM,WAIT FOR FUEL BAY,92.03
260820001,8/20/2026 6:01:23 AM,T110,Cat 797,893,300,MRM,WAIT FOR FUEL BAY,88.88499
260820001,8/20/2026 6:06:12 AM,T144,Cat 797,422,300,JPM,WAIT FOR FUEL BAY,
260820001,8/20/2026 6:06:33 AM,T455,Cat 785,488,780,MRM,FUEL&LUBE,18.37
260820001,8/20/2026 6:08:46 AM,T454,Cat 789,910,780,MRM,FUEL&LUBE,91.875
260820001,8/20/2026 6:13:14 AM,T144,Cat 797,1091,780,JPM,FUEL&LUBE,
260820001,8/20/2026 6:16:53 AM,T110,Cat 797,888,780,MRM,FUEL&LUBE,88.31
260820001,8/20/2026 6:23:57 AM,T454,Cat 789,2,780,MRM,FUEL&LUBE,98.9
260820001,8/20/2026 6:25:02 AM,T466,Cat 785,779,780,MRM,FUEL&LUBE,86.25
260820001,8/20/2026 6:35:36 AM,T458,Cat 785,616,780,JPM,FUEL&LUBE,33.74
260820001,8/20/2026 6:39:22 AM,T153,Cat 797,888,780,MRM,FUEL&LUBE,14.86
260820001,8/20/2026 6:41:17 AM,T470,Cat 785,678,780,MRM,FUEL&LUBE,163.855
260820001,8/20/2026 6:53:42 AM,T150,Cat 797,904,780,JPM,FUEL&LUBE,21.195
260820001,8/20/2026 7:02:58 AM,T123,Cat 797,596,780,MRM,FUEL&LUBE,22.625
260820001,8/20/2026 7:14:19 AM,T105,Cat 797,869,780,MRM,FUEL&LUBE,19.89
260820001,8/20/2026 7:16:05 AM,T152,Cat 797,673,780,JPM,FUEL&LUBE,14.885
260820001,8/20/2026 7:19:26 AM,T121,Cat 797,753,780,MRM,FUEL&LUBE,163.85
260820001,8/20/2026 7:22:38 AM,T165,Cat 797,255,300,JPM,WAIT FOR FUEL BAY,16.92
260820001,8/20/2026 7:26:53 AM,T165,Cat 797,870,780,JPM,FUEL&LUBE,16.565
260820001,8/20/2026 7:33:16 AM,T116,Cat 797,814,780,MRM,FUEL&LUBE,16.565
260820001,8/20/2026 7:41:26 AM,T165,Cat 797,2,780,JPM,FUEL&LUBE,58.35
260820001,8/20/2026 7:41:36 AM,T124,Cat 797,2,780,MRM,FUEL&LUBE,16.68
260820001,8/20/2026 7:41:38 AM,T124,Cat 797,107,300,MRM,WAIT FOR FUEL BAY,16.68
260820001,8/20/2026 7:43:25 AM,T124,Cat 797,791,780,MRM,FUEL&LUBE,16.68
260820001,8/20/2026 7:58:20 AM,T474,Cat 785,606,780,JPM,FUEL&LUBE,30.08
260820001,8/20/2026 8:03:29 AM,T131,Cat 797,345,780,MRM,FUEL&LUBE,16.09
260820001,8/20/2026 8:06:15 AM,T126,Cat 797,799,780,MRM,FUEL&LUBE,19.415
260820001,8/20/2026 8:09:33 AM,T131,Cat 797,1,780,MRM,FUEL&LUBE,78.1
260820001,8/20/2026 8:23:27 AM,T468,Cat 785,32,780,MRM,FUEL&LUBE,19.84
260820001,8/20/2026 8:24:10 AM,T133,Cat 797,680,780,MRM,FUEL&LUBE,163.85
260820001,8/20/2026 8:25:56 AM,T468,Cat 785,581,780,MRM,FUEL&LUBE,19.84
260820001,8/20/2026 8:30:50 AM,T471,Cat 785,283,300,MRM,WAIT FOR FUEL BAY,24.875
260820001,8/20/2026 8:36:34 AM,T471,Cat 785,573,780,MRM,FUEL&LUBE,24.875
260820001,8/20/2026 8:39:02 AM,T117,Cat 797,876,780,MRM,FUEL&LUBE,18.105
260820001,8/20/2026 8:39:42 AM,T168,Cat 797,822,780,JPM,FUEL&LUBE,
260820001,8/20/2026 8:39:53 AM,T101,Cat 797,509,300,MRM,WAIT FOR FUEL BAY,57.005
260820001,8/20/2026 8:48:22 AM,T101,Cat 797,2,780,MRM,FUEL&LUBE,55.67
260820001,8/20/2026 8:48:24 AM,T101,Cat 797,527,780,MRM,FUEL&LUBE,55.67
260810002,8/10/2026 8:24:06 PM,T116,Cat 797,774,780,MRM,FUEL&LUBE,23.515
260810002,8/10/2026 8:36:52 PM,T129,Cat 797,668,780,MRM,FUEL&LUBE,23.89
260810002,8/10/2026 8:41:25 PM,T141,Cat 797,2,780,JPM,FUEL&LUBE,21.315
260810002,8/10/2026 8:41:27 PM,T141,Cat 797,135,300,JPM,WAIT FOR FUEL BAY,21.315
260810002,8/10/2026 8:43:42 PM,T141,Cat 797,774,780,JPM,FUEL&LUBE,21.315
260810002,8/10/2026 8:59:10 PM,T151,Cat 797,766,780,MRM,FUEL&LUBE,23.89
260810002,8/10/2026 8:59:58 PM,T139,Cat 797,909,780,JPM,FUEL&LUBE,19.175
260810002,8/10/2026 9:06:28 PM,T112,Cat 797,574,780,MRM,FUEL&LUBE,163.85
260810002,8/10/2026 9:28:18 PM,T136,Cat 797,482,300,MRM,WAIT FOR FUEL BAY,20.365
260810002,8/10/2026 9:28:19 PM,T108,Cat 797,713,780,MRM,FUEL&LUBE,25.665
260810002,8/10/2026 9:36:37 PM,T136,Cat 797,857,780,MRM,FUEL&LUBE,21.075
260810002,8/10/2026 9:41:50 PM,T459,Cat 785,490,780,JPM,FUEL&LUBE,28.245
260810002,8/10/2026 10:01:58 PM,T154,Cat 797,11,780,JPM,FUEL&LUBE,27.94
260810002,8/10/2026 10:02:09 PM,T154,Cat 797,56,300,JPM,WAIT FOR FUEL BAY,27.94
260810002,8/10/2026 10:03:05 PM,T154,Cat 797,703,780,JPM,FUEL&LUBE,27.94
260810002,8/10/2026 10:22:40 PM,T149,Cat 797,856,780,JPM,FUEL&LUBE,
260810002,8/10/2026 10:22:49 PM,T466,Cat 785,689,780,MRM,FUEL&LUBE,23.8
260810002,8/10/2026 10:24:39 PM,T122,Cat 797,693,780,MRM,FUEL&LUBE,16.68
260810002,8/10/2026 10:36:57 PM,T122,Cat 797,13,780,MRM,FUEL&LUBE,16.68
260810002,8/10/2026 10:56:13 PM,T169,Cat 797,832,780,JPM,FUEL&LUBE,
260810002,8/10/2026 11:17:08 PM,T109,Cat 797,870,780,MRM,FUEL&LUBE,23.89
260810002,8/10/2026 11:20:46 PM,T472,Cat 785,841,780,MRM,FUEL&LUBE,31.83
260810002,8/10/2026 11:28:17 PM,T462,Cat 785,595,780,JPM,FUEL&LUBE,31.67
260810002,8/10/2026 11:45:02 PM,T119,Cat 797,833,780,MRM,FUEL&LUBE,20.955
260810002,8/10/2026 11:59:13 PM,T152,Cat 797,14,780,JPM,FUEL&LUBE,163.85
260810002,8/11/2026 12:08:05 AM,T144,Cat 797,749,780,JPM,FUEL&LUBE,
260810002,8/11/2026 12:19:32 AM,T101,Cat 797,10,780,MRM,FUEL&LUBE,18.465
