,month_f,Material2,Queue_Time,Spot_Time,Wait_Spot,Load_Time,Dump_Idle,Dumping_Time,Total_FixedTime
1,Jan,Ore,1.472,1.303,0,3.248,1.007,0.949,7.979
2,Jan,Waste,2.033,1.43,0,3.014,0.399,0.724,7.6
3,Feb,Ore,1.472,1.303,0,3.248,1.007,0.949,7.979
4,Feb,Waste,2.033,1.43,0,3.014,0.399,0.724,7.6
5,Mar,Ore,1.472,1.303,0,3.248,1.007,0.949,7.979
6,Mar,Waste,2.033,1.43,0,3.014,0.399,0.724,7.6
7,Apr,Ore,1.472,1.303,0,3.248,1.007,0.949,7.979
8,Apr,Waste,2.033,1.43,0,3.014,0.399,0.724,7.6
9,May,Ore,1.127,1.145,0,3.239,1.07,0.984,7.565
10,May,Waste,1.463,1.232,0,2.751,0.431,0.676,6.553
11,Jun,Ore,1.127,1.145,0,3.239,1.07,0.984,7.565
12,Jun,Waste,1.463,1.232,0,2.751,0.431,0.676,6.553
13,Jul,Ore,1.127,1.145,0,3.239,1.07,0.984,7.565
14,Jul,Waste,1.463,1.232,0,2.751,0.431,0.676,6.553
15,Aug,Ore,1.127,1.145,0,3.239,1.07,0.984,7.565
16,Aug,Waste,1.463,1.232,0,2.751,0.431,0.676,6.553
17,Sep,Ore,1.127,1.145,0,3.239,1.07,0.984,7.565
18,Sep,Waste,1.463,1.232,0,2.751,0.431,0.676,6.553
19,Oct,Ore,1.127,1.145,0,3.239,1.07,0.984,7.565
20,Oct,Waste,1.463,1.232,0,2.751,0.431,0.676,6.553
21,Nov,Ore,1.127,1.145,0,3.239,1.07,0.984,7.565
22,Nov,Waste,1.463,1.232,0,2.751,0.431,0.676,6.553
23,Dec,Ore,1.472,1.303,0,3.248,1.007,0.949,7.979
24,Dec,Waste,2.033,1.43,0,3.014,0.399,0.724,7.6
