Pit,Scheme,ShiftID,Year,Month,Date,Shift,YM,POre,PWst,NPOre,NPWst,NPReclaim,TypeMat,TotRej,CruRej,NOH495,NOH8000,NOH2530,NOH797,PA797,UA797,OE797,PA495,UA495,PA8000,UA8000,HD,TPNOH797,TPNOHCable,TPNOHHydro,Grade,Fines,D50,D90,Units797,UnitsCable,UnitsHydro,GOH495,GOH8000,GOH2530,GOH797,GOH785,TypeTon,OPEXTon,CAPEXTon,OreTon,WstTon,NOHO495,NOHO8000,NOHO747,NOHW495,NOHW8000,NOHW797,GOHO495,GOHO8000,GOHO797,GOHW495,GOHW8000,GOHW797,OreDist,WstDist,DykeDist,DumpDist,TPNOHO495,TPNOH8000,TPNOHO797,TPNOHW495,TPNOHW8000,TPNOHW797,PlantRec,Barrels
MRM,Budget,260101001,2026,1,1,1,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,0,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260101002,2026,1,1,2,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,1,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260102001,2026,1,2,1,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,2,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260102002,2026,1,2,2,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,3,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260103001,2026,1,3,1,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,4,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260103002,2026,1,3,2,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,5,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260104001,2026,1,4,1,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,6,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260104002,2026,1,4,2,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,7,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260105001,2026,1,5,1,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,8,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260105002,2026,1,5,2,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,9,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260106001,2026,1,6,1,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,10,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260106002,2026,1,6,2,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,11,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
MRM,Budget,260107001,2026,1,7,1,2026-1,149067.546,163978.694,8347.783,15589.691,15567.747,92747.778,8944.053,5366.432,54.964,17.132,7.259,408.741,0.835,0.98,0.925,0.883,0.955,0.884,0.95,5.18,781.942,4651.222,3733.5,11.648,13.52,214.349,12,45,6,2,60.734,20.155,8.249,441.882,58.745,92747.778,336983.713,15567.747,157415.328,195136.131,27.482,8.566,196.562,27.482,8.566,212.178,30.367,10.078,212.5,30.367,10.078,229.382,5.513,4.882,6.287,3.575,4382.068,3517.453,765.956,4920.375,3949.547,796.751,0.902,3185.626
