Pit,Material,HD (km),Month,SF,Cycle (hrs),TPNOH (t/h),Cycle (min),Fixed (min),Travel (min)
MRM,Ore,0.5,Jan,1.07,0.2230574,1741.300672,13.38344398,7.9099,5.473543983
MRM,Ore,0.5,Feb,1.07,0.2230574,1741.300672,13.38344398,8.3314,5.052043983
MRM,Ore,0.5,Mar,1.027,0.2230574,1671.323168,13.38344398,7.9672,5.416243983
MRM,Ore,0.5,Apr,0.958,0.2230574,1559.033686,13.38344398,7.9729,5.410543983
MRM,Ore,0.5,May,0.958,0.2230574,1559.033686,13.38344398,7.5509,5.832543983
MRM,Ore,0.5,Jun,0.958,0.2230574,1559.033686,13.38344398,7.74,5.643443983
MRM,Ore,0.5,Jul,0.958,0.2230574,1559.033686,13.38344398,7.7183,5.665143983
MRM,Ore,0.5,Aug,0.958,0.2230574,1559.033686,13.38344398,7.8197,5.563743983
MRM,Ore,0.5,Sep,0.958,0.2230574,1559.033686,13.38344398,7.734,5.649443983
MRM,Ore,0.5,Oct,0.987,0.2230574,1606.227816,13.38344398,7.185,6.198443983
MRM,Ore,0.5,Nov,1.027,0.2230574,1671.323168,13.38344398,7.2715,6.111943983
MRM,Ore,0.5,Dec,1.07,0.2230574,1741.300672,13.38344398,7.2057,6.177743983
MRM,Ore,0.6,Jan,1.07,0.23693736,1639.294029,14.21624162,7.9099,6.306341618
MRM,Ore,0.6,Feb,1.07,0.23693736,1639.294029,14.21624162,8.3314,5.884841618
MRM,Ore,0.6,Mar,1.027,0.23693736,1573.415858,14.21624162,7.9672,6.249041618
MRM,Ore,0.6,Apr,0.958,0.23693736,1467.704374,14.21624162,7.9729,6.243341618
MRM,Ore,0.6,May,0.958,0.23693736,1467.704374,14.21624162,7.5509,6.665341618
MRM,Ore,0.6,Jun,0.958,0.23693736,1467.704374,14.21624162,7.74,6.476241618
MRM,Ore,0.6,Jul,0.958,0.23693736,1467.704374,14.21624162,7.7183,6.497941618
MRM,Ore,0.6,Aug,0.958,0.23693736,1467.704374,14.21624162,7.8197,6.396541618
MRM,Ore,0.6,Sep,0.958,0.23693736,1467.704374,14.21624162,7.734,6.482241618
MRM,Ore,0.6,Oct,0.987,0.23693736,1512.133838,14.21624162,7.185,7.031241618
MRM,Ore,0.6,Nov,1.027,0.23693736,1573.415858,14.21624162,7.2715,6.944741618
MRM,Ore,0.6,Dec,1.07,0.23693736,1639.294029,14.21624162,7.2057,7.010541618
MRM,Ore,0.7,Jan,1.07,0.249344405,1557.724946,14.9606643,7.9099,7.050764305
MRM,Ore,0.7,Feb,1.07,0.249344405,1557.724946,14.9606643,8.3314,6.629264305
MRM,Ore,0.7,Mar,1.027,0.249344405,1495.124785,14.9606643,7.9672,6.993464305
MRM,Ore,0.7,Apr,0.958,0.249344405,1394.673363,14.9606643,7.9729,6.987764305
MRM,Ore,0.7,May,0.958,0.249344405,1394.673363,14.9606643,7.5509,7.409764305
MRM,Ore,0.7,Jun,0.958,0.249344405,1394.673363,14.9606643,7.74,7.220664305
MRM,Ore,0.7,Jul,0.958,0.249344405,1394.673363,14.9606643,7.7183,7.242364305
MRM,Ore,0.7,Aug,0.958,0.249344405,1394.673363,14.9606643,7.8197,7.140964305
MRM,Ore,0.7,Sep,0.958,0.249344405,1394.673363,14.9606643,7.734,7.226664305
MRM,Ore,0.7,Oct,0.987,0.249344405,1436.892077,14.9606643,7.185,7.775664305
MRM,Ore,0.7,Nov,1.027,0.249344405,1495.124785,14.9606643,7.2715,7.689164305
MRM,Ore,0.7,Dec,1.07,0.249344405,1557.724946,14.9606643,7.2057,7.754964305
MRM,Ore,0.8,Jan,1.07,0.260615812,1490.354699,15.63694871,7.9099,7.727048714
MRM,Ore,0.8,Feb,1.07,0.260615812,1490.354699,15.63694871,8.3314,7.305548714
MRM,Ore,0.8,Mar,1.027,0.260615812,1430.46194,15.63694871,7.9672,7.669748714
MRM,Ore,0.8,Apr,0.958,0.260615812,1334.354955,15.63694871,7.9729,7.664048714
MRM,Ore,0.8,May,0.958,0.260615812,1334.354955,15.63694871,7.5509,8.086048714
MRM,Ore,0.8,Jun,0.958,0.260615812,1334.354955,15.63694871,7.74,7.896948714
MRM,Ore,0.8,Jul,0.958,0.260615812,1334.354955,15.63694871,7.7183,7.918648714
MRM,Ore,0.8,Aug,0.958,0.260615812,1334.354955,15.63694871,7.8197,7.817248714
MRM,Ore,0.8,Sep,0.958,0.260615812,1334.354955,15.63694871,7.734,7.902948714
MRM,Ore,0.8,Oct,0.987,0.260615812,1374.747746,15.63694871,7.185,8.451948714
MRM,Ore,0.8,Nov,1.027,0.260615812,1430.46194,15.63694871,7.2715,8.365448714
MRM,Ore,0.8,Dec,1.07,0.260615812,1490.354699,15.63694871,7.2057,8.431248714
MRM,Ore,0.9,Jan,1.07,0.270980077,1433.352609,16.25880461,7.9099,8.34890461
MRM,Ore,0.9,Feb,1.07,0.270980077,1433.352609,16.25880461,8.3314,7.92740461
MRM,Ore,0.9,Mar,1.027,0.270980077,1375.750588,16.25880461,7.9672,8.29160461
MRM,Ore,0.9,Apr,0.958,0.270980077,1283.319438,16.25880461,7.9729,8.28590461
MRM,Ore,0.9,May,0.958,0.270980077,1283.319438,16.25880461,7.5509,8.70790461
MRM,Ore,0.9,Jun,0.958,0.270980077,1283.319438,16.25880461,7.74,8.51880461
MRM,Ore,0.9,Jul,0.958,0.270980077,1283.319438,16.25880461,7.7183,8.54050461
MRM,Ore,0.9,Aug,0.958,0.270980077,1283.319438,16.25880461,7.8197,8.43910461
MRM,Ore,0.9,Sep,0.958,0.270980077,1283.319438,16.25880461,7.734,8.52480461
MRM,Ore,0.9,Oct,0.987,0.270980077,1322.167313,16.25880461,7.185,9.07380461
MRM,Ore,0.9,Nov,1.027,0.270980077,1375.750588,16.25880461,7.2715,8.98730461
MRM,Ore,0.9,Dec,1.07,0.270980077,1433.352609,16.25880461,7.2057,9.05310461
MRM,Ore,1,Jan,1.07,0.2806,1384.212402,16.836,7.9099,8.9261
MRM,Ore,1,Feb,1.07,0.2806,1384.212402,16.836,8.3314,8.5046
MRM,Ore,1,Mar,1.027,0.2806,1328.585175,16.836,7.9672,8.8688
MRM,Ore,1,Apr,0.958,0.2806,1239.32288,16.836,7.9729,8.8631
MRM,Ore,1,May,0.958,0.2806,1239.32288,16.836,7.5509,9.2851
MRM,Ore,1,Jun,0.958,0.2806,1239.32288,16.836,7.74,9.096
MRM,Ore,1,Jul,0.958,0.2806,1239.32288,16.836,7.7183,9.1177
MRM,Ore,1,Aug,0.958,0.2806,1239.32288,16.836,7.8197,9.0163
MRM,Ore,1,Sep,0.958,0.2806,1239.32288,16.836,7.734,9.102
MRM,Ore,1,Oct,0.987,0.2806,1276.838917,16.836,7.185,9.651
MRM,Ore,1,Nov,1.027,0.2806,1328.585175,16.836,7.2715,9.5645
MRM,Ore,1,Dec,1.07,0.2806,1384.212402,16.836,7.2057,9.6303
MRM,Ore,1.1,Jan,1.07,0.289596151,1341.212579,17.37576903,7.9099,9.465869034
MRM,Ore,1.1,Feb,1.07,0.289596151,1341.212579,17.37576903,8.3314,9.044369034
MRM,Ore,1.1,Mar,1.027,0.289596151,1287.313382,17.37576903,7.9672,9.408569034
MRM,Ore,1.1,Apr,0.958,0.289596151,1200.823973,17.37576903,7.9729,9.402869034
MRM,Ore,1.1,May,0.958,0.289596151,1200.823973,17.37576903,7.5509,9.824869034
MRM,Ore,1.1,Jun,0.958,0.289596151,1200.823973,17.37576903,7.74,9.635769034
MRM,Ore,1.1,Jul,0.958,0.289596151,1200.823973,17.37576903,7.7183,9.657469034
MRM,Ore,1.1,Aug,0.958,0.289596151,1200.823973,17.37576903,7.8197,9.556069034
MRM,Ore,1.1,Sep,0.958,0.289596151,1200.823973,17.37576903,7.734,9.641769034
MRM,Ore,1.1,Oct,0.987,0.289596151,1237.174594,17.37576903,7.185,10.19076903
MRM,Ore,1.1,Nov,1.027,0.289596151,1287.313382,17.37576903,7.2715,10.10426903
MRM,Ore,1.1,Dec,1.07,0.289596151,1341.212579,17.37576903,7.2057,10.17006903
MRM,Ore,1.2,Jan,1.07,0.298060604,1303.124246,17.88363624,7.9099,9.973736243
MRM,Ore,1.2,Feb,1.07,0.298060604,1303.124246,17.88363624,8.3314,9.552236243
MRM,Ore,1.2,Mar,1.027,0.298060604,1250.755702,17.88363624,7.9672,9.916436243
MRM,Ore,1.2,Apr,0.958,0.298060604,1166.722456,17.88363624,7.9729,9.910736243
MRM,Ore,1.2,May,0.958,0.298060604,1166.722456,17.88363624,7.5509,10.33273624
MRM,Ore,1.2,Jun,0.958,0.298060604,1166.722456,17.88363624,7.74,10.14363624
MRM,Ore,1.2,Jul,0.958,0.298060604,1166.722456,17.88363624,7.7183,10.16533624
MRM,Ore,1.2,Aug,0.958,0.298060604,1166.722456,17.88363624,7.8197,10.06393624
MRM,Ore,1.2,Sep,0.958,0.298060604,1166.722456,17.88363624,7.734,10.14963624
MRM,Ore,1.2,Oct,0.987,0.298060604,1202.040777,17.88363624,7.185,10.69863624
MRM,Ore,1.2,Nov,1.027,0.298060604,1250.755702,17.88363624,7.2715,10.61213624
MRM,Ore,1.2,Dec,1.07,0.298060604,1303.124246,17.88363624,7.2057,10.67793624
MRM,Ore,1.3,Jan,1.07,0.306065452,1269.042282,18.36392714,7.9099,10.45402714
MRM,Ore,1.3,Feb,1.07,0.306065452,1269.042282,18.36392714,8.3314,10.03252714
MRM,Ore,1.3,Mar,1.027,0.306065452,1218.043386,18.36392714,7.9672,10.39672714
MRM,Ore,1.3,Apr,0.958,0.306065452,1136.207949,18.36392714,7.9729,10.39102714
MRM,Ore,1.3,May,0.958,0.306065452,1136.207949,18.36392714,7.5509,10.81302714
MRM,Ore,1.3,Jun,0.958,0.306065452,1136.207949,18.36392714,7.74,10.62392714
MRM,Ore,1.3,Jul,0.958,0.306065452,1136.207949,18.36392714,7.7183,10.64562714
MRM,Ore,1.3,Aug,0.958,0.306065452,1136.207949,18.36392714,7.8197,10.54422714
MRM,Ore,1.3,Sep,0.958,0.306065452,1136.207949,18.36392714,7.734,10.62992714
MRM,Ore,1.3,Oct,0.987,0.306065452,1170.602553,18.36392714,7.185,11.17892714
MRM,Ore,1.3,Nov,1.027,0.306065452,1218.043386,18.36392714,7.2715,11.09242714
MRM,Ore,1.3,Dec,1.07,0.306065452,1269.042282,18.36392714,7.2057,11.15822714
MRM,Ore,1.4,Jan,1.07,0.313668321,1238.282523,18.82009926,7.9099,10.91019926
MRM,Ore,1.4,Feb,1.07,0.313668321,1238.282523,18.82009926,8.3314,10.48869926
MRM,Ore,1.4,Mar,1.027,0.313668321,1188.519768,18.82009926,7.9672,10.85289926
MRM,Ore,1.4,Apr,0.958,0.313668321,1108.667904,18.82009926,7.9729,10.84719926
MRM,Ore,1.4,May,0.958,0.313668321,1108.667904,18.82009926,7.5509,11.26919926
MRM,Ore,1.4,Jun,0.958,0.313668321,1108.667904,18.82009926,7.74,11.08009926
MRM,Ore,1.4,Jul,0.958,0.313668321,1108.667904,18.82009926,7.7183,11.10179926
MRM,Ore,1.4,Aug,0.958,0.313668321,1108.667904,18.82009926,7.8197,11.00039926
MRM,Ore,1.4,Sep,0.958,0.313668321,1108.667904,18.82009926,7.734,11.08609926
MRM,Ore,1.4,Oct,0.987,0.313668321,1142.228832,18.82009926,7.185,11.63509926
MRM,Ore,1.4,Nov,1.027,0.313668321,1188.519768,18.82009926,7.2715,11.54859926
MRM,Ore,1.4,Dec,1.07,0.313668321,1238.282523,18.82009926,7.2057,11.61439926
MRM,Ore,1.5,Jan,1.07,0.320916083,1210.316406,19.25496497,7.9099,11.34506497
MRM,Ore,1.5,Feb,1.07,0.320916083,1210.316406,19.25496497,8.3314,10.92356497
MRM,Ore,1.5,Mar,1.027,0.320916083,1161.677522,19.25496497,7.9672,11.28776497
MRM,Ore,1.5,Apr,0.958,0.320916083,1083.629081,19.25496497,7.9729,11.28206497
MRM,Ore,1.5,May,0.958,0.320916083,1083.629081,19.25496497,7.5509,11.70406497
