,month_f,Material2,Queue_Time,Spot_Time,Wait_Spot,Load_Time,Dump_Idle,Dumping_Time,Total_FixedTime
1,Jan,Ore,1.855,1.192,0,2.631,1.403,0.81,7.891
2,Jan,Waste,1.818,1.271,0,2.773,0.604,0.705,7.171
3,Feb,Ore,1.855,1.192,0,2.631,1.403,0.81,7.891
4,Feb,Waste,1.818,1.271,0,2.773,0.604,0.705,7.171
5,Mar,Ore,1.855,1.192,0,2.631,1.403,0.81,7.891
6,Mar,Waste,1.818,1.271,0,2.773,0.604,0.705,7.171
7,Apr,Ore,1.855,1.192,0,2.631,1.403,0.81,7.891
8,Apr,Waste,1.818,1.271,0,2.773,0.604,0.705,7.171
9,May,Ore,1.421,1.027,0,2.402,1.507,0.654,7.011
10,May,Waste,1.323,1.093,0,2.469,0.763,0.72,6.368
11,Jun,Ore,1.421,1.027,0,2.402,1.507,0.654,7.011
12,Jun,Waste,1.323,1.093,0,2.469,0.763,0.72,6.368
13,Jul,Ore,1.421,1.027,0,2.402,1.507,0.654,7.011
14,Jul,Waste,1.323,1.093,0,2.469,0.763,0.72,6.368
15,Aug,Ore,1.421,1.027,0,2.402,1.507,0.654,7.011
16,Aug,Waste,1.323,1.093,0,2.469,0.763,0.72,6.368
17,Sep,Ore,1.421,1.027,0,2.402,1.507,0.654,7.011
18,Sep,Waste,1.323,1.093,0,2.469,0.763,0.72,6.368
19,Oct,Ore,1.421,1.027,0,2.402,1.507,0.654,7.011
20,Oct,Waste,1.323,1.093,0,2.469,0.763,0.72,6.368
21,Nov,Ore,1.421,1.027,0,2.402,1.507,0.654,7.011
22,Nov,Waste,1.323,1.093,0,2.469,0.763,0.72,6.368
23,Dec,Ore,1.855,1.192,0,2.631,1.403,0.81,7.891
24,Dec,Waste,1.818,1.271,0,2.773,0.604,0.705,7.171
